title,amount,type,date,category,paymentMethod,description
January Salary,5000.00,INCOME,2026-01-01,salary,BANK_TRANSFER,Monthly salary credit
Rent Payment,1800.00,EXPENSE,2026-01-01,housing,AUTO_DEBIT,Monthly rent
Groceries Super Mart,320.50,EXPENSE,2026-01-02,groceries,CASH,Weekly grocery shopping
Electric Bill,145.00,EXPENSE,2026-01-03,utilities,BANK_TRANSFER,January electricity
Water Bill,45.00,EXPENSE,2026-01-04,utilities,ONLINE,Water bill payment
Internet Plan,59.99,EXPENSE,2026-01-05,utilities,CARD,Monthly broadband
Mobile Recharge,399.00,EXPENSE,2026-01-06,utilities,MOBILE_PAYMENT,Monthly phone plan
Gym Membership,1499.00,EXPENSE,2026-01-08,healthcare,AUTO_DEBIT,Monthly gym subscription
Netflix Subscription,199.00,EXPENSE,2026-01-10,entertainment,CARD,Monthly streaming
Gas Station Fill Up,2800.00,EXPENSE,2026-01-12,transportation,CASH,Fuel for car
Morning Coffee,150.00,EXPENSE,2026-01-14,dining,CASH,Starbucks coffee
Team Lunch,850.00,EXPENSE,2026-01-16,dining,CARD,Office team lunch
Amazon Order,1299.00,EXPENSE,2026-01-18,shopping,CARD,Household items
Pharmacy Medicines,450.00,EXPENSE,2026-01-20,healthcare,CASH,Prescription medicines
Freelance Project,3000.00,INCOME,2026-01-22,freelance,ONLINE,Website redesign project
Bus Pass Monthly,500.00,EXPENSE,2026-01-24,transportation,CARD,Monthly bus pass
Movie Night,450.00,EXPENSE,2026-01-26,entertainment,CARD,Cinema tickets
Grocery Shopping,280.00,EXPENSE,2026-01-28,groceries,CASH,Weekly essentials
Spotify Premium,99.00,EXPENSE,2026-01-30,entertainment,CARD,Monthly music subscription
February Salary,5000.00,INCOME,2026-02-01,salary,BANK_TRANSFER,Monthly salary credit
Rent Payment,1800.00,EXPENSE,2026-02-01,housing,AUTO_DEBIT,Monthly rent
Groceries Weekly,340.00,EXPENSE,2026-02-03,groceries,CASH,Weekly grocery shopping
Electric Bill,165.00,EXPENSE,2026-02-05,utilities,BANK_TRANSFER,February electricity
Gas Bill,85.00,EXPENSE,2026-02-07,utilities,ONLINE,Gas bill payment
Internet Plan,59.99,EXPENSE,2026-02-08,utilities,CARD,Monthly broadband
Mobile Recharge,399.00,EXPENSE,2026-02-10,utilities,MOBILE_PAYMENT,Monthly phone plan
Yoga Classes,2000.00,EXPENSE,2026-01-12,healthcare,CARD,Monthly yoga subscription
Netflix Subscription,199.00,EXPENSE,2026-02-14,entertainment,CARD,Monthly streaming
Valentine Dinner,2500.00,EXPENSE,2026-02-14,dining,CARD,Valentine's dinner date
Gas Station Fill Up,2650.00,EXPENSE,2026-02-16,transportation,CASH,Fuel for car
Amazon Prime,999.00,EXPENSE,2026-02-18,shopping,CARD,Amazon prime annual
Coffee Shop,180.00,EXPENSE,2026-02-20,dining,CASH,Coffee meetings
Freelance Project,4500.00,INCOME,2026-02-22,freelance,ONLINE,Logo design project
Stock Dividend,800.00,INCOME,2026-02-24,investments,BANK_TRANSFER,Q1 dividend payment
Pharmacy Vitamins,650.00,EXPENSE,2026-02-26,healthcare,CASH,Vitamin supplements
Grocery Shopping,310.00,EXPENSE,2026-02-28,groceries,CASH,Weekly essentials
March Salary,5000.00,INCOME,2026-03-01,salary,BANK_TRANSFER,Monthly salary credit
Rent Payment,1800.00,EXPENSE,2026-03-01,housing,AUTO_DEBIT,Monthly rent
Groceries Weekly,290.00,EXPENSE,2026-03-03,groceries,CASH,Weekly grocery shopping
Electric Bill,155.00,EXPENSE,2026-03-05,utilities,BANK_TRANSFER,March electricity
Water Bill,50.00,EXPENSE,2026-03-07,utilities,ONLINE,Water bill payment
Internet Plan,59.99,EXPENSE,2026-03-08,utilities,CARD,Monthly broadband
Mobile Recharge,399.00,EXPENSE,2026-03-10,utilities,MOBILE_PAYMENT,Monthly phone plan
Dental Checkup,2500.00,EXPENSE,2026-03-12,healthcare,CARD,Dental cleaning
Netflix Subscription,199.00,EXPENSE,2026-03-14,entertainment,CARD,Monthly streaming
Gas Station Fill Up,2750.00,EXPENSE,2026-03-16,transportation,CASH,Fuel for car
Restaurant Birthday,1800.00,EXPENSE,2026-03-18,dining,CARD,Birthday celebration
Online Course,4999.00,EXPENSE,2026-03-20,education,ONLINE,Udemy course
Amazon Order,850.00,EXPENSE,2026-03-22,shopping,CARD,Books and supplies
Freelance Project,5500.00,INCOME,2026-03-24,freelance,ONLINE,App development project
Grocery Shopping,320.00,EXPENSE,2026-03-26,groceries,CASH,Weekly essentials
Spotify Premium,99.00,EXPENSE,2026-03-28,entertainment,CARD,Monthly music subscription
Uber Rides,450.00,EXPENSE,2026-03-30,transportation,ONLINE,Weekly commute
April Salary,5000.00,INCOME,2026-04-01,salary,BANK_TRANSFER,Monthly salary credit
Rent Payment,1800.00,EXPENSE,2026-04-01,housing,AUTO_DEBIT,Monthly rent
Groceries Weekly,335.00,EXPENSE,2026-04-03,groceries,CASH,Weekly grocery shopping
Electric Bill,180.00,EXPENSE,2026-04-05,utilities,BANK_TRANSFER,April electricity
Gas Bill,90.00,EXPENSE,2026-04-07,utilities,ONLINE,Gas bill payment
Internet Plan,59.99,EXPENSE,2026-04-08,utilities,CARD,Monthly broadband
Mobile Recharge,399.00,EXPENSE,2026-04-10,utilities,MOBILE_PAYMENT,Monthly phone plan
Gym Membership,1499.00,EXPENSE,2026-04-12,healthcare,AUTO_DEBIT,Monthly gym subscription
Netflix Subscription,199.00,EXPENSE,2026-04-14,entertainment,CARD,Monthly streaming
Gas Station Fill Up,2900.00,EXPENSE,2026-04-16,transportation,CASH,Fuel for car
Coffee Shop,200.00,EXPENSE,2026-04-18,dining,CASH,Client meetings coffee
Restaurant Lunch,650.00,EXPENSE,2026-04-20,dining,CARD,Business lunch
Freelance Project,4000.00,INCOME,2026-04-22,freelance,ONLINE,Consulting project
Pharmacy Medicines,380.00,EXPENSE,2026-04-24,healthcare,CASH,Monthly medicines
Grocery Shopping,300.00,EXPENSE,2026-04-26,groceries,CASH,Weekly essentials
