title,amount,type,date,category,paymentMethod,description
Monthly Salary,4500.00,INCOME,2026-01-01,income,BANK_TRANSFER,January Salary
Rent Payment,15000.00,EXPENSE,2026-01-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3500.00,EXPENSE,2026-01-03,groceries,CASH,Weekly groceries
Electricity Bill,1850.00,EXPENSE,2026-01-05,utilities,ONLINE,January electricity
Internet Bill,999.00,EXPENSE,2026-01-08,utilities,CARD,Monthly internet
Mobile Data,599.00,EXPENSE,2026-01-10,utilities,MOBILE_PAYMENT,Monthly data plan
Gym Membership,2500.00,EXPENSE,2026-01-12,healthcare,AUTO_DEBIT,Annual gym membership
Netflix Subscription,499.00,EXPENSE,2026-01-15,entertainment,CARD,Monthly subscription
Grocery Shopping,2800.00,EXPENSE,2026-01-17,groceries,CASH,Weekly groceries
Gas Station,3500.00,EXPENSE,2026-01-19,transportation,CASH,Fuel for car
Freelance Project,5000.00,INCOME,2026-01-20,investments,ONLINE,Web development project
Restaurant Dinner,2500.00,EXPENSE,2026-01-22,dining,CARD,Date night dinner
Pharmacy,850.00,EXPENSE,2026-01-24,healthcare,CASH,Medicines
Coffee Shop,250.00,EXPENSE,2026-01-25,dining,CASH,Coffee and snacks
Bus Pass,1500.00,EXPENSE,2026-01-26,transportation,CARD,Monthly bus pass
Monthly Salary,4500.00,INCOME,2026-02-01,income,BANK_TRANSFER,February Salary
Rent Payment,15000.00,EXPENSE,2026-02-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3200.00,EXPENSE,2026-02-03,groceries,CASH,Weekly groceries
Electricity Bill,2100.00,EXPENSE,2026-02-05,utilities,ONLINE,February electricity
Water Bill,650.00,EXPENSE,2026-02-07,utilities,ONLINE,Monthly water bill
Grocery Shopping,2900.00,EXPENSE,2026-02-10,groceries,CASH,Weekly groceries
Gas Station,3800.00,EXPENSE,2026-02-12,transportation,CASH,Fuel for car
Amazon Prime,1299.00,EXPENSE,2026-02-14,shopping,CARD,Annual prime membership
Restaurant Lunch,1200.00,EXPENSE,2026-02-15,dining,CARD,Work lunch
Spotify Premium,299.00,EXPENSE,2026-02-18,entertainment,CARD,Monthly subscription
Grocery Shopping,3100.00,EXPENSE,2026-02-20,groceries,CASH,Weekly groceries
Stock Dividend,1500.00,INCOME,2026-02-22,investments,BANK_TRANSFER,Q1 dividend
Online Course,4999.00,EXPENSE,2026-02-24,education,ONLINE,Python course
Pharmacy,450.00,EXPENSE,2026-02-26,healthcare,CASH,Medicines
Uber Ride,550.00,EXPENSE,2026-02-28,transportation,ONLINE,Airport ride
Monthly Salary,4500.00,INCOME,2026-03-01,income,BANK_TRANSFER,March Salary
