title,amount,type,date,category,paymentMethod,description
Salary,3500.00,INCOME,2026-04-01,income,BANK_TRANSFER,Monthly salary
Rent,1200.00,EXPENSE,2026-04-01,housing,BANK_TRANSFER,Monthly rent
Grocery Shopping,125.50,EXPENSE,2026-04-02,groceries,CASH,Weekly groceries
Internet Bill,89.99,EXPENSE,2026-04-03,utilities,AUTO_DEBIT,Monthly internet
Electric Bill,150.00,EXPENSE,2026-04-04,utilities,BANK_TRANSFER,Monthly electricity
Gas Bill,45.00,EXPENSE,2026-04-05,utilities,BANK_TRANSFER,Monthly gas
Water Bill,35.00,EXPENSE,2026-04-06,utilities,BANK_TRANSFER,Monthly water
Freelance Project,800.00,INCOME,2026-04-07,income,BANK_TRANSFER,Web development project
Netflix Subscription,15.99,EXPENSE,2026-04-08,entertainment,CARD,Monthly subscription
Spotify Subscription,9.99,EXPENSE,2026-04-08,entertainment,CARD,Monthly subscription
Gym Membership,50.00,EXPENSE,2026-04-09,healthcare,AUTO_DEBIT,Monthly gym
Uber Ride,25.00,EXPENSE,2026-04-10,transportation,MOBILE_PAYMENT,Airport pickup
Dinner Date,85.00,EXPENSE,2026-04-11,dining,CARD,Restaurant dinner
Movie Tickets,30.00,EXPENSE,2026-04-12,entertainment,CARD,Movie night
Gas Station,55.00,EXPENSE,2026-04-13,transportation,CARD,Fuel refill
Pharmacy,22.50,EXPENSE,2026-04-14,healthcare,CARD,Medicines
Salary,3500.00,INCOME,2026-04-15,income,BANK_TRANSFER,Monthly salary
Bonus,500.00,INCOME,2026-04-15,income,BANK_TRANSFER,Performance bonus
Amazon Purchase,120.00,EXPENSE,2026-04-16,shopping,CARD,Electronics
Grocery Shopping,98.75,EXPENSE,2026-04-17,groceries,CASH,Weekly groceries
Phone Bill,55.00,EXPENSE,2026-04-18,utilities,AUTO_DEBIT,Monthly phone
Coffee Shop,8.50,EXPENSE,2026-04-19,dining,CASH,Morning coffee
Lunch Break,15.00,EXPENSE,2026-04-20,dining,CASH,Work lunch
Uber Ride,18.00,EXPENSE,2026-04-21,transportation,MOBILE_PAYMENT,Office commute
Car Insurance,180.00,EXPENSE,2026-04-22,other,BANK_TRANSFER,Monthly premium
Health Insurance,250.00,EXPENSE,2026-04-23,healthcare,AUTO_DEBIT,Monthly premium
Grocery Shopping,110.25,EXPENSE,2026-04-24,groceries,CASH,Weekly groceries
Dinner with Friends,95.00,EXPENSE,2026-04-25,dining,CARD,Group dinner
Online Course,49.99,EXPENSE,2026-04-26,education,CARD,Programming course
Book Purchase,25.00,EXPENSE,2026-04-27,shopping,CARD,Technical book
Gas Station,60.00,EXPENSE,2026-04-28,transportation,CARD,Fuel refill
